min: [6.981, 9.71, 43.79, 143.5, 0.05263, 0.01938, 0.0, 0.0, 0.106, 0.04996, 0.1115, 0.3602, 0.757, 6.802, 0.001713, 0.002252, 0.0, 0.0, 0.007882, 0.0008948, 7.93, 12.02, 50.41, 185.2, 0.07117, 0.02729, 0.0, 0.0, 0.1565, 0.05504]
max: [28.11, 39.28, 188.5, 2501.0, 0.1634, 0.3454, 0.4268, 0.2012, 0.304, 0.09744, 2.873, 4.885, 21.98, 542.2, 0.03113, 0.1354, 0.396, 0.05279, 0.07895, 0.02984, 36.04, 49.54, 251.2, 4254.0, 0.2226, 1.058, 1.252, 0.291, 0.6638, 0.2075]
k = 1, normalized = False, method = EUCLIDEAN, accuracy = 0.9130434782608695 [single run]
k = 3, normalized = False, method = EUCLIDEAN, accuracy = 0.9391304347826087 [single run]
k = 5, normalized = False, method = EUCLIDEAN, accuracy = 0.9478260869565217 [single run]
k = 7, normalized = False, method = EUCLIDEAN, accuracy = 0.9391304347826087 [single run]
k = 1, normalized = True, method = EUCLIDEAN, accuracy = 0.9565217391304348 [single run]
k = 3, normalized = True, method = EUCLIDEAN, accuracy = 0.9739130434782609 [single run]
k = 5, normalized = True, method = EUCLIDEAN, accuracy = 0.9739130434782609 [single run]
k = 7, normalized = True, method = EUCLIDEAN, accuracy = 0.9739130434782609 [single run]
k = 1, normalized = False, method = EUCLIDEAN, accuracy mean = 0.9210434782608696 [50 repeats]
k = 3, normalized = False, method = EUCLIDEAN, accuracy mean = 0.9241739130434783 [50 repeats]
k = 5, normalized = False, method = EUCLIDEAN, accuracy mean = 0.9266086956521739 [50 repeats]
k = 7, normalized = False, method = EUCLIDEAN, accuracy mean = 0.9347826086956522 [50 repeats]
k = 1, normalized = True, method = EUCLIDEAN, accuracy mean = 0.9493913043478259 [50 repeats]
k = 3, normalized = True, method = EUCLIDEAN, accuracy mean = 0.9674782608695658 [50 repeats]
k = 5, normalized = True, method = EUCLIDEAN, accuracy mean = 0.9671304347826093 [50 repeats]
k = 7, normalized = True, method = EUCLIDEAN, accuracy mean = 0.9707826086956527 [50 repeats]
